La_name,La_code,total_deaths,Total,Children,Adults,Elders,Seniors,Total:_All_households,Household_is_not_deprived_in_any_dimension,Household_is_deprived_in_one_dimension,Household_is_deprived_in_two_dimensions,Household_is_deprived_in_three_dimensions,Household_is_deprived_in_four_dimensions,Total_population,Person_per_household,No_deprivation,Deprivation_in_one_dimesion,Deprivation_in_two_dimesion,Deprivation_in_three_dimesion,Deprivation_in_four_dimesion,"Managers,_directors_and_senior_officials",Professional_occupations,Associate_professional_and_technical_occupations,Administrative_and_secretarial_occupations,Skilled_trades_occupations,"Caring,_leisure_and_other_service_occupations",Sales_and_customer_service_occupations,"Process,_plant_and_machine_operatives",Elementary_occupations,No_qualifications,Level_1_and_entry_level_qualifications,Level_2_qualifications,Apprenticeship,Level_3_qualifications,Level_4_qualifications_or_above,Other_qualifications
Gosport,E07000088,156,81955,13845,50597,9363,8150,35922,16523,12813,5305,1208,73,81955,2.281470965,37697,29232,12103,2756,167,4067,5220,5722,3998,4730,4510,2925,2571,3920,11695,8504,10664,4495,13322,16648,1883
Gravesham,E07000109,295,106900,20895,67591,9709,8705,41724,18835,14736,6385,1626,142,106900,2.562074585,48257,37755,16359,4166,364,5971,7777,6054,5126,5546,4466,3519,4313,5889,17186,10086,12846,4954,13962,22572,2948
Great Yarmouth,E07000145,207,99748,15994,59817,12773,11164,44544,16995,16376,8526,2471,176,99748,2.239313937,38057,36671,19092,5533,394,4018,4861,4078,3703,5188,5219,3527,4247,5435,21926,10744,12935,5971,13209,15091,2843
Greenwich,E09000011,480,289071,56015,202830,17300,12926,114052,55022,36619,16601,5382,428,289071,2.534554414,139456,92813,42076,13641,1085,18611,35339,20617,11232,10535,12300,8125,6975,14106,38319,18349,23747,7937,30154,104926,6316
Guildford,E07000209,220,143650,22763,95729,13028,12130,55760,32183,17103,5312,1074,88,143650,2.576219512,82910,44061,13685,2767,227,12076,17886,10805,5701,5605,5092,3231,2273,3966,13540,8646,13528,4686,23554,52620,2783
Hackney,E09000012,477,259146,46713,191928,12474,8031,106081,47686,34486,16971,6333,605,259146,2.442906835,116492,84246,41459,15471,1478,18497,39304,27058,9267,6359,9179,6559,4407,9998,35043,12782,17449,4938,24171,109724,5361
Halton,E06000006,274,128479,22909,81610,14358,9602,55949,24183,18732,9843,3088,103,128479,2.296359184,55533,43015,22603,7091,237,5847,8666,7178,5784,5599,5419,5709,5842,7242,21865,12338,17403,5718,19057,24876,2691
Hammersmith and Fulham,E09000013,281,183157,26906,137265,10717,8269,81244,41748,25243,10555,3319,379,183157,2.254406479,94117,56908,23795,7482,854,18185,28501,18056,6699,4419,6422,4521,2627,5591,18332,7892,11387,3534,20165,89043,4273
Harborough,E07000131,151,97626,15992,60136,11429,10069,40413,23390,12472,3898,625,28,97626,2.415707817,56503,30129,9416,1510,68,8775,10760,6915,4427,5001,3401,2619,2341,3470,10937,7232,11248,4832,13900,30387,1892
Haringey,E09000014,474,264240,45249,191279,15969,11743,105095,45524,35580,17629,5755,607,264240,2.514296589,114461,89459,44325,14470,1526,16991,33097,21379,8908,10984,9756,7273,5880,15617,39921,14732,18392,6781,25260,104270,6644
Harlow,E07000073,188,93328,19153,60561,7432,6182,37856,16252,13397,6350,1669,188,93328,2.46534235,40067,33028,15655,4115,463,4770,6801,5121,4897,5359,4645,3325,4245,5666,15364,9802,11618,4120,12132,17864,2202
Harrow,E09000015,645,261203,48313,172711,21410,18769,89642,43681,30953,12012,2763,233,261203,2.913846188,127280,90192,35001,8051,679,17311,31004,14173,11786,11907,8088,8159,7532,10899,36454,17150,21857,6656,26422,94317,6764
Hart,E07000089,150,99408,17844,61990,9909,9665,39964,24252,11899,3264,526,23,99408,2.487438695,60325,29598,8119,1308,57,9479,11676,8643,4714,4507,3578,2451,1738,2609,8742,7066,11310,3800,14320,33217,1872
Hartlepool,E06000001,250,92337,16484,57620,10331,7902,40930,17262,13735,7570,2278,85,92337,2.255973613,38943,30986,17078,5139,192,3337,5771,4438,3349,4679,4269,3364,3588,4051,17286,7076,10963,5205,13776,18526,1854
Hastings,E07000062,240,90996,15276,57301,10334,8085,40450,17007,14173,7001,2076,193,90996,2.249592089,38259,31883,15749,4670,434,4412,6675,5427,3787,5020,5379,3178,2537,3661,15039,8387,11256,3815,12768,21357,2082
Havant,E07000090,296,124210,20015,73977,15398,14820,53589,24402,18946,8020,2020,201,124210,2.31782642,56560,43914,18589,4682,466,6822,9120,6868,5223,7550,5952,4261,3978,5238,20492,11643,15718,6593,18281,27262,2876
Havering,E09000016,844,262052,49318,166623,23993,22118,101277,47903,34966,14859,3337,212,262052,2.587477907,123948,90474,38447,8634,549,15316,24028,16487,16451,14187,9841,7492,7905,10127,41947,23453,31228,10778,34125,61921,6278
"Herefordshire, County of, County of",E06000019,293,187033,28027,110534,25495,22977,82825,40941,28690,10761,2284,149,187033,2.258170842,92452,64787,24300,5158,336,11936,14018,9824,7887,12798,8429,5819,6881,9179,28315,14982,22184,9258,26573,51420,4401
Hertsmere,E07000098,318,107827,20243,68445,9841,9298,42682,22141,14147,5171,1147,76,107827,2.526287428,55935,35739,13063,2898,192,9135,12123,7351,5548,4530,4096,2731,2532,3466,13778,7921,11396,3825,12741,34134,2396
High Peak,E07000037,238,90930,14290,56801,11093,8746,40772,21222,13356,5024,1123,47,90930,2.230207005,47329,29787,11205,2505,105,5854,8787,5536,3652,5169,4349,2912,3569,3912,11307,7063,10412,4578,13751,26922,1627
Hillingdon,E09000017,706,305909,60345,204391,22110,19063,109228,50136,38207,16448,4110,327,305909,2.800646354,140413,107004,46065,11511,916,18368,29591,17625,14028,12954,11371,9658,10515,14192,43906,23872,28514,10298,35836,90664,8788
Hinckley and Bosworth,E07000132,207,113639,18490,69739,13776,11634,49445,25421,16657,6114,1200,53,113639,2.29829103,58425,38283,14052,2758,122,7731,10099,7471,5693,6311,4685,3460,4022,5367,17207,10026,13584,6196,16900,27630,2375
Horsham,E07000227,225,146779,24376,88959,17229,16215,62370,35372,19802,6037,1071,88,146779,2.353358987,83243,46601,14207,2520,207,12658,15160,11360,6790,7035,6153,4154,2973,4519,15075,11412,18801,5837,21877,44615,3047
Hounslow,E09000018,569,288182,55986,198246,19470,14480,102961,45406,36270,16488,4377,420,288182,2.798943289,127089,101518,46149,12251,1176,17714,27252,17250,11816,11915,10792,10113,9851,17764,42630,21674,23390,8090,28046,95076,9775
Huntingdonshire,E07000011,250,180831,30657,113636,19816,16722,76881,41205,25319,8576,1699,82,180831,2.352089593,96918,59553,20172,3996,193,13154,18288,13386,9340,9032,7300,5551,6355,7144,23194,15790,21608,8222,26020,49593,3834
Hyndburn,E07000120,211,82239,15540,51695,8287,6717,34790,14766,11847,6092,1985,100,82239,2.363868928,34905,28005,14401,4692,236,3315,4908,3884,3235,4625,4204,3011,3822,3659,14951,6845,9321,4778,11527,16514,1696
Ipswich,E07000202,319,139642,26172,90459,12263,10748,59507,26895,20605,9332,2519,156,139642,2.346648293,63113,48353,21899,5911,366,6021,11186,7795,6180,6747,6886,5826,6283,8263,24251,13437,16100,7015,18241,29295,3493
Isle of Wight,E06000046,255,140459,19464,79976,21683,19336,64775,28569,23476,10070,2465,195,140459,2.16841374,61949,50906,21836,5345,423,7216,8910,6532,4817,8015,7433,4869,3563,5470,22064,13355,17501,8926,21444,32783,3513
Isles of Scilly,E06000053,0,2055,308,1167,277,303,942,478,337,106,21,0,2055,2.181528662,1043,735,231,46,0,191,139,124,74,190,147,83,65,90,213,119,272,88,341,655,42
Islington,E09000019,325,216587,31143,165123,11827,8494,96496,46657,29403,14577,5409,450,216587,2.244517907,104722,65996,32718,12141,1010,17275,38411,22236,7135,4822,6306,4918,3403,6651,25257,10273,13146,4212,22337,103975,4426
Kensington and Chelsea,E09000020,251,143376,19019,103756,11324,9277,66884,35174,20245,8121,2918,426,143376,2.143651695,75401,43398,17409,6255,913,18361,18731,12032,4003,2179,4867,2936,1652,3044,13971,5446,8803,2378,15439,73226,3826
King's Lynn and West Norfolk,E07000146,389,154325,23884,90506,20593,19342,67464,29662,24812,10524,2330,136,154325,2.287516305,67852,56758,24074,5330,311,8277,9457,7442,6092,9629,7427,4945,6844,7947,30136,15595,19503,8226,21172,30036,4224
"Kingston upon Hull, City of",E06000010,611,267013,50032,176157,23602,17222,115472,47556,39375,21788,6452,301,267013,2.312361438,109967,91049,50382,14919,696,8158,14191,11679,9227,15641,12578,10922,14409,17248,54010,24163,30143,14691,37418,46511,6944
Kingston upon Thames,E09000021,305,168061,30657,113081,13327,10996,65626,36639,20274,7045,1552,116,168061,2.560890501,93828,51919,18041,3975,297,14564,23613,12833,6999,5676,5548,4523,2768,4814,16128,8744,13319,4324,19766,69582,3603
Kirklees,E08000034,869,433214,81402,274999,42461,34352,177990,82995,59593,27052,7881,469,433214,2.433923254,202003,145045,65842,19182,1142,22711,34362,24126,16846,20733,17108,14139,16764,17539,71832,33776,46112,21655,60187,103532,9180
Knowsley,E08000011,395,154519,28386,99891,15112,11130,66073,26952,21374,12688,4856,203,154519,2.338610325,63030,49985,29672,11356,475,5970,10424,7790,7549,7264,8120,6135,6635,7970,32600,13203,17898,6817,21411,29578,2792
Lambeth,E09000022,521,317651,45690,244701,15836,11424,134688,67366,42725,18625,5499,473,317651,2.358420943,158877,100764,43926,12969,1116,25476,54200,33952,12257,9295,12426,7982,6018,16170,35185,16252,21025,6973,31935,151312,6263
Lancaster,E07000121,285,142932,21757,91830,15677,13668,59979,29026,20314,8383,2132,124,142932,2.383034062,69170,48409,19977,5081,295,6505,12021,7168,4829,7269,7110,4299,4409,5815,18885,10307,14998,6790,27060,38664,2937
Leeds,E08000035,1535,811952,144571,540615,67998,58768,341466,164958,112338,49084,14124,962,811952,2.377841425,392244,267122,116714,33585,2287,41203,83130,50422,34922,31931,32578,25756,22222,35786,119597,60190,79192,34353,120782,228358,15996
Leicester,E06000016,810,368571,72732,252338,25265,18236,127388,49397,45634,24094,7624,639,368571,2.893294502,142920,132033,69711,22058,1849,10826,23248,13064,11915,11872,14367,12666,21882,26696,77692,31152,33954,11024,46860,77900,12431
Lewes,E07000063,266,99909,15600,57845,13393,13071,43688,20934,15304,5977,1367,106,99909,2.286875114,47873,34998,13669,3126,242,6541,8701,6445,3886,5248,4398,2759,2298,3287,13372,8498,11840,4497,13794,28978,2243
Lewisham,E09000023,549,300551,54879,217028,16092,12552,122392,57783,39762,18556,5755,536,300551,2.455642526,141894,97641,45567,14132,1316,19956,41215,26719,11570,10249,12442,8783,6184,13404,35447,17738,23426,7261,31537,120814,6187
Lichfield,E07000194,281,106434,16677,64228,13114,12415,45630,23731,14968,5762,1109,60,106434,2.332544379,55354,34914,13440,2587,140,8428,10410,6610,4722,5344,3663,3011,2961,4286,15110,8930,12487,4743,15241,29789,2296
Lincoln,E07000138,164,103813,15785,73023,8121,6884,42506,19193,14648,6678,1865,122,103813,2.442314026,46875,35775,16310,4555,298,3681,7030,4937,3582,4570,4949,3892,4758,6156,15135,8461,11149,4845,22253,22943,2281
Liverpool,E08000012,1280,486089,78342,333425,42415,31907,207491,86264,67761,38407,14386,673,486089,2.342699201,202091,158744,89976,33702,1577,17368,41032,23729,20699,16000,20146,16110,14969,24111,90049,34955,46141,17624,80909,124150,9200
Luton,E06000032,509,225261,49435,149460,14156,12210,78940,32610,28763,13520,3732,315,225261,2.853572333,93055,82077,38580,10650,899,8353,15186,9661,8089,9502,9549,6836,11117,15250,39478,19650,21943,8349,24832,51546,6900
Maidstone,E07000110,398,175782,31663,110594,17834,15691,71209,36704,23765,8647,1937,156,175782,2.468536281,90605,58665,21345,4782,385,12687,15703,11980,8537,9344,6937,5412,5851,8279,24786,15510,21706,8547,24906,42531,4148
Maldon,E07000074,139,66208,10090,39566,8865,7687,27900,13842,9688,3587,754,29,66208,2.373046595,32848,22990,8512,1789,69,5175,4958,4099,3504,4190,2356,2019,1966,2436,10674,6744,8920,3600,9798,14080,1612
Malvern Hills,E07000235,130,79486,11444,45796,11417,10829,34894,18380,11642,4108,731,33,79486,2.277927437,41868,26520,9358,1665,75,5937,7670,4353,3244,4406,3037,2108,1831,2567,9778,5781,9379,3689,10781,26021,1691
Manchester,E08000003,913,551937,107283,392487,30299,21868,214729,93533,70524,36937,12983,752,551937,2.570388723,240416,181274,94942,33371,1933,19999,53846,30253,18026,15269,21532,18220,14625,28198,86110,34988,45164,15322,79621,164763,11990
Mansfield,E07000174,295,110480,19109,70069,11622,9680,48030,20410,16642,8443,2430,105,110480,2.300229024,46948,38280,19421,5590,242,4948,6521,5403,4307,6246,5663,4058,5034,8062,21910,10542,13216,5898,15853,19902,2849
Medway,E06000035,729,279776,53664,180055,25935,20122,111458,51808,38410,16523,4326,391,279776,2.51014732,130046,96415,41475,10859,981,14714,21701,17083,13718,15765,12340,9350,10957,13798,43158,26898,35426,13625,40009,57001,6641
Melton,E07000133,91,51752,8230,31362,6673,5487,22597,11989,7627,2517,439,25,51752,2.290215515,27457,17467,5764,1005,57,3875,4147,3071,2274,3210,2311,1532,2130,2400,7034,4293,6303,2893,7908,13349,1166
Merton,E09000024,430,215187,40001,148115,14983,12088,81729,44057,25596,9632,2276,168,215187,2.632933231,115999,67393,25360,5993,442,17552,29039,16059,8921,8993,8271,6350,5086,8941,24609,12368,16510,5752,21786,86412,5334
Mid Devon,E07000042,69,82852,13647,49318,10599,9288,35636,17503,12501,4648,937,47,82852,2.324952295,40694,29064,10806,2178,109,5296,6432,4381,3555,6003,3819,2903,3243,3842,11614,6968,10548,4122,12262,20928,1762
Mid Suffolk,E07000203,177,102697,15277,61444,14033,11943,44343,23134,15119,5145,904,41,102697,2.315968699,53578,35015,11916,2094,95,7376,8877,6707,4898,6496,4203,2993,3377,4118,15185,9148,12784,5345,15667,25917,2259
Mid Sussex,E07000228,319,152566,27441,93634,16105,15386,63349,36299,19835,6078,1068,69,152566,2.408341095,87420,47769,14638,2572,166,13118,17423,11878,7157,6831,6716,4151,2975,4800,14457,11498,18511,5769,22257,47689,3135
Middlesbrough,E06000002,365,143926,28188,91558,13672,10508,60262,25407,20394,10816,3517,128,143926,2.388337593,60680,48708,25832,8400,306,4365,8748,5971,4753,5825,7020,4796,5453,6920,27282,11221,15270,7040,19976,30127,3023
Milton Keynes,E06000042,501,287061,58612,188863,23402,16184,113102,57966,36777,14442,3653,264,287061,2.538071829,147122,93343,36655,9272,670,18187,30168,19654,13561,10858,10408,10180,9128,16709,35577,24422,32011,10477,35371,80545,6428
Mole Valley,E07000210,239,87384,14006,52616,10332,10430,37141,21063,11510,3688,794,86,87384,2.352763792,49556,27080,8677,1868,202,8304,10074,6324,4022,4132,3330,1926,1259,2168,8901,6236,9857,3209,11182,31214,1740
New Forest,E07000091,303,175785,25273,98867,25696,25949,77566,39907,26596,9265,1671,127,175785,2.266263569,90440,60274,20997,3787,288,11958,13851,9827,7660,9886,8007,4927,4467,6392,23951,15276,22002,10396,26369,46380,4370
Newark and Sherwood,E07000175,223,122957,19663,75626,14914,12754,53329,26200,17841,7447,1743,98,122957,2.305631083,60408,41135,17170,4019,226,7780,8960,6968,4863,6550,5617,3979,4778,6405,19448,10577,14913,6360,18403,29579,2687
Newcastle upon Tyne,E08000021,493,300125,48759,206851,24463,20052,122797,56768,40169,19418,6149,293,300125,2.444074367,138745,98176,47459,15029,716,11233,29554,14211,10481,9840,10613,10124,7611,12108,46232,19729,25891,11943,52768,86063,5824
Newcastle-under-Lyme,E07000195,350,123299,18811,77750,14121,12617,53423,24983,18223,8190,1947,80,123299,2.307975965,57660,42058,18902,4494,185,5986,9955,6531,5125,6549,5474,4219,4369,6422,20689,9991,14052,6883,20200,28938,2430
Newham,E09000025,745,351036,70475,255395,15398,9768,115507,45399,41296,21230,7081,501,351036,3.03908854,137972,125502,64520,21520,1523,15129,31925,18850,11996,16008,13075,12452,11344,23825,57151,24931,28082,8619,35783,111130,10478
North Devon,E07000043,55,98611,15360,57797,13222,12232,43197,20705,15124,6010,1268,90,98611,2.282820566,47266,34525,13720,2895,205,5729,6842,4997,3594,7104,4753,3226,3217,4829,14596,9099,12743,5557,14604,23458,2137
North East Derbyshire,E07000038,272,102002,15702,60969,13316,12015,45987,21613,15772,6916,1620,66,102002,2.218061626,47939,34983,15340,3593,146,6009,7960,5423,4565,5779,4530,3469,3501,4421,17066,9101,12364,5825,15328,23507,2082
North East Lincolnshire,E06000012,252,156966,27543,96587,17605,15231,69826,30701,24150,11618,3222,135,156966,2.247959213,69015,54288,26117,7243,303,6021,8378,7175,5785,8024,7100,5331,10210,9088,30907,15531,20513,8313,20885,27537,3837
North Hertfordshire,E07000099,298,133211,23975,83405,13292,12539,56732,31231,17898,6259,1261,83,133211,2.34807516,73333,42026,14697,2961,195,10773,16994,10231,5820,5792,4833,3685,3268,4376,14652,9987,14358,4833,16645,44740,2526
North Kesteven,E07000139,195,118076,18785,71680,14291,13320,50989,26651,17158,6082,1062,36,118076,2.315715154,61716,39733,14084,2459,83,7639,9882,8493,5989,6491,5386,3475,3850,4481,15887,9741,14570,6344,19662,29278,2533
North Lincolnshire,E06000013,278,169681,28209,104194,20251,17027,73173,33731,25637,11151,2565,89,169681,2.318901781,78219,59450,25858,5948,206,8220,10213,8119,6269,9116,7006,5596,10005,9815,30466,16292,21104,9922,23954,33361,4368
North Norfolk,E07000147,185,102980,12901,55579,17794,16706,48374,21480,18213,7186,1413,82,102980,2.128829537,45727,38772,15298,3008,175,5702,5267,4192,3387,6830,4886,3468,2749,4533,18332,10337,13574,6300,14426,23391,2787
North Northamptonshire,E06000061,666,359525,65901,228267,36409,28948,148916,72737,50657,20356,4918,248,359525,2.414280534,175608,122300,49145,11873,599,21652,26578,20162,16558,19276,15321,12174,17477,25489,57682,34404,44428,18199,48272,77281,8920
North Somerset,E06000024,333,216730,35739,129119,26475,25397,94647,48754,31684,11454,2565,190,216730,2.289877122,111641,72552,26228,5874,435,14572,20183,13394,10013,10328,9797,6675,6644,8500,26615,17219,26482,10668,32377,60489,4717
North Tyneside,E08000022,431,208968,35083,130987,23973,18925,96236,47576,31265,13730,3546,119,208968,2.171411946,103307,67889,29813,7700,258,9892,21580,13184,10626,8642,8570,8824,5788,8127,29968,16025,24300,11773,28969,56375,4102
North Warwickshire,E07000218,150,65035,10473,40290,7699,6573,27580,13032,9634,3992,887,35,65035,2.358049311,30730,22717,9413,2092,83,4229,4768,3888,3300,3731,2649,2097,2783,3700,11954,6217,8265,3281,9482,13387,1312
North West Leicestershire,E07000134,211,104704,17382,66320,11714,9288,44973,23178,14910,5672,1161,52,104704,2.328152447,53962,34713,13205,2703,121,7278,8863,6763,4783,5915,4294,3404,4440,5200,15813,8570,12133,5566,16173,25818,2092
North Yorkshire,E06000065,1023,615492,92638,369025,82187,71642,274381,146295,90469,31146,6141,330,615492,2.243201971,328169,202940,69867,13776,740,44548,51755,38045,24910,38236,25953,19238,18095,26719,82990,47623,72377,33901,87830,178949,12510
Northumberland,E06000057,700,320568,48331,190687,45560,35990,146921,71280,49905,20510,5035,191,320568,2.181907284,155526,108888,44751,10986,417,17350,24517,16816,13297,16820,15093,11379,9897,12997,48173,26051,38873,18624,47690,82653,6782
Norwich,E07000148,200,143922,21872,100541,11468,10041,64459,28982,22168,10055,3052,202,143922,2.232768116,64710,49496,22450,6814,451,5575,14145,7887,4962,5806,6276,5295,4428,7675,20617,11147,14453,5181,25170,41202,2992
Nottingham,E06000018,636,323631,55876,229790,20685,17280,124745,51881,42946,22536,7016,366,323631,2.594340455,134597,111417,58466,18202,950,10052,23223,13436,9602,10454,13112,9853,10899,18696,51554,23096,29844,10835,66236,75673,7084
Nuneaton and Bedworth,E07000219,274,134193,24092,84504,13831,11766,56586,25493,19579,9027,2337,150,134193,2.371487647,60456,46431,21407,5542,356,6213,9882,7388,6214,6555,6053,4636,6028,8707,24568,12912,16263,6746,18440,26577,3081
Oadby and Wigston,E07000135,161,57747,9849,35595,6038,6265,22615,11109,7829,3091,549,37,57747,2.553482202,28367,19991,7893,1402,94,2984,5752,3188,2733,2426,2362,1906,1772,2246,8771,4581,6035,2692,8731,15123,1277
Oldham,E08000004,628,242088,51518,151956,21459,17155,93137,38130,32275,16920,5520,292,242088,2.599267745,99110,83891,43980,14348,759,9562,14804,11144,9375,11039,10182,7840,9247,12283,46208,20672,26021,11939,30829,46023,5343
Oxford,E07000178,175,162040,23639,119432,10088,8881,55239,28832,17781,6713,1767,146,162040,2.933434711,84577,52159,19692,5183,428,6571,24726,8034,4475,4503,5371,3363,3640,7105,17204,8339,10389,3798,28127,65698,3163
Pendle,E07000122,260,95757,19271,59240,9754,7492,38066,16180,13333,6450,1999,104,95757,2.515551936,40702,33540,16225,5029,262,4050,5605,4016,3107,5312,3955,3395,4520,4582,18639,8006,9740,4852,12521,19085,2379
Peterborough,E06000031,316,215674,45395,139690,16743,13846,84533,38082,29514,13102,3578,257,215674,2.551358641,97161,75301,33428,9129,656,9905,15657,11165,8992,8845,8810,8099,11039,16132,37471,20666,24191,9286,25727,43956,6276
Plymouth,E06000026,207,264695,43364,172361,26060,22910,114557,52100,38898,18228,5049,282,264695,2.310596472,120382,89878,42118,11666,652,10777,19662,15242,11199,15271,13101,9707,8825,12193,37894,21388,30727,15836,47362,60155,5262
Portsmouth,E06000044,355,208003,35062,142151,16547,14243,86155,40658,28802,12890,3524,281,208003,2.414288201,98160,69536,31120,8508,678,9694,17656,11803,8722,10517,9924,6910,7057,10300,29766,16434,22404,9093,37296,51190,4638
Preston,E07000123,311,147838,27393,98642,11881,9922,59607,27785,20032,8931,2700,159,147838,2.480212056,68913,49684,22151,6697,394,6068,12395,7367,6490,5934,6262,5045,5452,7653,23079,11143,15243,6411,21665,37641,3487
Reading,E06000038,267,174224,30971,122275,11146,9832,67683,34684,21772,8682,2350,195,174224,2.574117578,89281,56044,22348,6049,502,9279,22302,11663,6826,6866,7598,5831,5001,9955,22361,12932,15070,5853,23734,57149,4263
Redbridge,E09000026,816,310259,64352,207975,20909,17023,103713,47994,36254,15319,3869,277,310259,2.991515046,143575,108454,45827,11574,829,18391,33882,16842,14034,12525,9219,9495,8944,13003,41948,20878,27163,7557,33074,102696,8701
Redcar and Cleveland,E06000003,315,136533,22681,82105,17172,14575,61638,27192,21064,10307,2969,106,136533,2.215078361,60232,46658,22831,6577,235,4770,8320,6510,4915,6739,7158,4461,5306,6103,24732,10983,15663,8692,21300,28003,2969
Redditch,E07000236,172,87039,15767,55114,9488,6670,36378,17057,12511,5375,1338,97,87039,2.392627412,40811,29934,12860,3201,232,4700,6616,4976,4090,5018,3735,3290,4637,4744,14605,8168,11026,4119,12108,18162,2063
Reigate and Banstead,E07000211,399,150846,28941,95189,13875,12841,59849,34148,18454,5919,1230,98,150846,2.520443115,86068,46512,14919,3100,247,12966,18363,11279,7301,6394,6478,3714,2917,4221,15765,10997,17047,5244,19632,48338,3106
Ribble Valley,E07000124,145,61558,9352,37358,7807,7041,26747,15673,8156,2455,436,27,61558,2.301491756,36071,18771,5650,1003,62,5104,6769,3934,2632,3730,2420,1493,1652,1950,6802,4059,6746,3472,8863,20456,1064
Richmond upon Thames,E09000027,295,195279,37143,126688,17086,14362,80705,49261,22644,6992,1678,130,195279,2.419664209,119195,54791,16918,4060,315,22932,30144,17262,6821,4411,5153,3414,2139,3448,14163,7779,14029,3743,18830,94089,3201
Rochdale,E08000005,600,223773,45842,141064,21189,15678,90223,38481,30724,15621,5084,313,223773,2.48022123,95441,76202,38744,12609,776,9685,15019,10834,9062,9899,9882,7240,8591,11772,40649,18414,24559,10564,29467,46238,5056
Rochford,E07000075,268,85661,14014,51648,10293,9706,35557,17569,12393,4779,765,51,85661,2.409117755,42326,29856,11513,1843,123,5891,7311,5971,5335,4703,3228,2441,2317,2678,13556,9084,12358,4440,13097,16095,2080
Rossendale,E07000125,166,70871,12714,44503,7884,5770,30561,14666,10071,4496,1270,58,70871,2.319001342,34010,23355,10426,2945,135,4293,6216,4302,2728,3950,3383,2411,2427,2668,10672,5433,8145,3651,10561,17565,1271
Rother,E07000064,349,93113,12722,50197,15187,15007,42102,19251,15475,6112,1192,72,93113,2.211605149,42576,34225,13517,2636,159,5844,6423,4683,3710,5249,4218,2507,1812,2803,15007,8802,11688,4728,13035,23746,2483
Rotherham,E08000018,745,265806,47165,166413,28242,23986,113925,49653,38666,19862,5520,224,265806,2.333166557,115849,90214,46341,12879,523,11892,17762,12909,11005,14748,12018,10462,11289,13174,50529,24545,33613,14398,36879,49807,5802
Rugby,E07000220,173,114364,20706,72852,10535,10271,47016,25096,15539,5231,1106,44,114364,2.432448528,61045,37798,12724,2690,107,7516,11689,7213,5181,4909,3970,3369,4432,8369,14451,8974,12919,5873,15159,32174,2640
Runnymede,E07000212,155,88079,14428,58490,7582,7579,34838,18603,11306,4106,773,50,88079,2.52824502,47033,28584,10381,1954,126,7022,8992,6164,4078,3962,3476,2207,1826,2806,10528,6543,9130,3400,15509,25643,1964
Rushcliffe,E07000176,203,119081,20036,73300,13320,12425,49882,29124,15231,4752,754,21,119081,2.387253919,69526,36360,11344,1800,50,9907,16836,8271,4859,4221,3467,2766,1954,3203,11727,6924,11725,4378,16649,44227,2094
Rushmoor,E07000092,219,99756,17846,66781,8273,6856,39304,20081,12889,5038,1212,84,99756,2.538062284,50967,32713,12787,3076,213,5988,9193,8027,5007,5406,5823,3652,3093,5702,14803,9582,11523,4515,13850,24115,2483
Rutland,E06000017,65,41047,6154,24509,5332,5052,16694,9675,5284,1529,198,8,41047,2.458787588,23789,12992,3759,487,20,3421,3534,3011,1574,1884,1537,975,1012,1470,4491,2953,5278,1936,5835,13012,795
Salford,E08000006,619,269921,50029,183971,19653,16268,115116,53457,37170,18229,5963,297,269921,2.344773967,125345,87155,42743,13982,696,13465,25623,17847,12856,10252,11185,9795,7663,13673,42829,20027,27231,11687,36911,72678,5560
Sandwell,E08000028,963,341832,71098,221029,26514,23191,130244,49388,46056,26244,8161,395,341832,2.624550843,129621,120876,68879,21419,1037,11046,18989,14197,13274,15258,14200,11741,17072,20795,76839,30586,36175,12758,39465,60316,9889
Sefton,E08000014,781,279234,43874,170597,33385,31378,123073,55668,41850,19817,5463,275,279234,2.26884857,126302,94951,44962,12395,624,13954,22913,15367,14573,12000,13221,9758,8583,11024,45890,23885,32729,13808,40580,69495,6005
Sevenoaks,E07000111,275,120512,22370,72214,13341,12587,49013,26797,15559,5399,1193,65,120512,2.458776243,65888,38256,13275,2933,160,10642,12287,8144,5749,5833,3974,2947,2453,3428,15087,9281,14060,4641,15101,36073,2360
Sheffield,E08000019,1204,556525,94246,367460,49413,45406,231950,105238,78863,36628,10582,639,556525,2.399331753,252501,189219,87883,25390,1533,22454,54707,28249,20875,23242,21543,18618,15813,24474,88425,41454,53589,24865,84712,152194,11011
Shropshire,E06000051,539,323607,47918,193601,42765,39323,139579,70872,47508,17359,3697,143,323607,2.318450483,164313,110145,40246,8571,332,21121,26605,18358,13123,20905,14771,10059,10099,14227,45573,26154,40900,16564,47417,88502,7136
Slough,E06000039,313,158500,37285,105895,8940,6380,52424,22184,19176,8603,2293,168,158500,3.023424386,67072,57977,26011,6933,508,7225,13664,7931,6567,6138,6520,5502,7531,10404,23966,12764,14336,5004,16181,41423,5260
Solihull,E08000029,550,216238,39068,131571,23016,22583,89483,45378,28916,12109,2915,165,216238,2.416526044,109657,69876,29262,7044,399,14917,23640,12825,10383,8244,7249,5873,5499,7346,30642,16623,24691,8069,28266,61847,4365
Somerset,E06000066,721,571549,90218,339435,74728,67168,250122,125035,86027,31969,6762,329,571549,2.285080881,285715,196579,73052,15452,752,33964,43445,31468,23193,36362,28609,18345,20478,27429,81075,48500,72670,30819,83785,144903,13188
